n = 2^10; Tiempo NearestX ; IOs NearestX ; Tiempo Hilbert; IOs Hilbert; Tiempo STR; IOS STR;
Rect(373486, 217615, 404206, 230043); 66600; 1; 47800; 1; 34800; 1
Rect(231564, 228696, 317806, 257793); 86000; 1; 50400; 1; 33600; 1
Rect(10915, 328351, 47438, 380485); 69500; 1; 37100; 1; 33400; 1
Rect(453371, 303095, 500000, 390174); 66500; 1; 50200; 1; 35200; 1
Rect(189989, 422405, 228845, 493455); 67800; 1; 39100; 1; 33800; 1
Rect(140290, 347157, 197284, 357567); 69600; 1; 37800; 1; 34400; 1
Rect(366613, 225132, 416921, 301200); 69700; 1; 39000; 1; 34000; 1
Rect(109325, 62537, 131935, 158249); 67700; 1; 36900; 1; 38200; 1
Rect(199818, 21465, 274308, 28889); 69300; 1; 138100; 1; 34400; 1
; 6744998; 100; 3972500; 100; 4070899; 100

n = 2^11; Tiempo NearestX ; IOs NearestX ; Tiempo Hilbert; IOs Hilbert; Tiempo STR; IOS STR;
Rect(205478, 360376, 214795, 418900); 62900; 1; 37500; 1; 35000; 1
Rect(368426, 142589, 413353, 158140); 17600; 1; 28500; 1; 26000; 1
Rect(332006, 395819, 398047, 429545); 37400; 1; 28600; 1; 27200; 1
Rect(319347, 260661, 375923, 333843); 21300; 1; 37200; 1; 26300; 1
Rect(362217, 250897, 403474, 321251); 18500; 1; 28600; 1; 34000; 1
Rect(400102, 139777, 405698, 159640); 22000; 1; 28400; 1; 42400; 1
Rect(54966, 420304, 141682, 462585); 13800; 1; 28500; 1; 28800; 1
Rect(103596, 416670, 119029, 500000); 14800; 1; 63300; 1; 26300; 1
Rect(383995, 178577, 459466, 190837); 34300; 1; 47100; 1; 26200; 1
Rect(205407, 249985, 273077, 348549); 17100; 1; 47400; 1; 26400; 1
Rect(7599, 347377, 42023, 374295); 17000; 1; 46700; 1; 26300; 1
Rect(385925, 464049, 426927, 489140); 15900; 1; 45400; 1; 37700; 1
Rect(365537, 326142, 435008, 332306); 14400; 1; 46500; 1; 30500; 1
Rect(357403, 252106, 373164, 284377); 15800; 1; 45500; 1; 48900; 1
Rect(51789, 235987, 127567, 246007); 16000; 1; 44100; 1; 26900; 1
Rect(50730, 464124, 110720, 482306); 21900; 1; 47300; 1; 33700; 1
Rect(342981, 435546, 406023, 469324); 14300; 1; 47100; 1; 29700; 1
Rect(148443, 22501, 234476, 36800); 13600; 1; 45600; 1; 28400; 1
Rect(212927, 442343, 289641, 447880); 14900; 1; 61700; 1; 28400; 1
Rect(147675, 367444, 246904, 451997); 28300; 1; 49400; 1; 29600; 1
Rect(117037, 461329, 203742, 500000); 28800; 1; 49700; 1; 28700; 1
Rect(88193, 161077, 132700, 238442); 21900; 1; 48200; 1; 32400; 1
Rect(353831, 197141, 442859, 295237); 18500; 1; 47200; 1; 26400; 1
Rect(263756, 44067, 346741, 141063); 31900; 1; 46800; 1; 26200; 1
Rect(323131, 436249, 342269, 500000); 17100; 1; 46900; 1; 26300; 1
Rect(462299, 193902, 500000, 225470); 16900; 1; 46000; 1; 26200; 1
Rect(2399, 346731, 20371, 355372); 15700; 1; 45300; 1; 26700; 1
Rect(65083, 165719, 93114, 249113); 14400; 1; 45200; 1; 39600; 1
Rect(250980, 406561, 323667, 473032); 14200; 1; 44500; 1; 28800; 1
Rect(83869, 125489, 150008, 138698); 13600; 1; 47800; 1; 25900; 1
Rect(48713, 56555, 143456, 74006); 14600; 1; 46100; 1; 26400; 1
Rect(10803, 297496, 50276, 335497); 13900; 1; 45800; 1; 26200; 1
Rect(487633, 422979, 500000, 460597); 14100; 1; 45000; 1; 26100; 1
Rect(65370, 44041, 112331, 127910); 25600; 1; 46200; 1; 44300; 1
Rect(359296, 235462, 414602, 313646); 17800; 1; 46600; 1; 54300; 1
Rect(316454, 286637, 330699, 321171); 16400; 1; 44600; 1; 48000; 1
Rect(320971, 162319, 370055, 206000); 16900; 1; 45000; 1; 46100; 1
Rect(151068, 66075, 226602, 118481); 15000; 1; 45200; 1; 47900; 1
Rect(241315, 314924, 337867, 403785); 14700; 1; 46300; 1; 47400; 1
Rect(117773, 471278, 128513, 500000); 14200; 1; 45700; 1; 49100; 1
Rect(35298, 66566, 105113, 109490); 14100; 1; 45700; 1; 46500; 1
Rect(376546, 40598, 386571, 139528); 14900; 1; 44300; 1; 48700; 1
Rect(385236, 444502, 452826, 497881); 14200; 1; 45200; 1; 46100; 1
Rect(65985, 159467, 126703, 202640); 14100; 1; 46600; 1; 48300; 1
Rect(419164, 260434, 468617, 349982); 13700; 1; 46700; 1; 48400; 1
Rect(361295, 332486, 398244, 431746); 16800; 1; 46100; 1; 45900; 1
Rect(206139, 101156, 250500, 112541); 13900; 1; 45600; 1; 45800; 1
Rect(132303, 326895, 204940, 406604); 93000; 1; 45500; 1; 45300; 1
Rect(418676, 167356, 481583, 173715); 25000; 1; 46800; 1; 51000; 1
Rect(157989, 72026, 202350, 123794); 17400; 1; 47100; 1; 48900; 1
Rect(18320, 475366, 35236, 500000); 17200; 1; 45700; 1; 67100; 1
Rect(129182, 248370, 205864, 322569); 22900; 1; 44800; 1; 46400; 1
Rect(16761, 423428, 106868, 436438); 14000; 1; 45100; 1; 55700; 1
Rect(38936, 367993, 119993, 422821); 14600; 1; 46700; 1; 53500; 1
Rect(350666, 98727, 406674, 103463); 13400; 1; 44900; 1; 46000; 1
Rect(473847, 199558, 500000, 277798); 13400; 1; 45400; 1; 46600; 1
Rect(191432, 59132, 279240, 64484); 14400; 1; 44400; 1; 51000; 1
Rect(383793, 341807, 396913, 400245); 14200; 1; 46000; 1; 47200; 1
Rect(352149, 353436, 423040, 359616); 20000; 1; 47300; 1; 43400; 1
Rect(422354, 305603, 500000, 351936); 13400; 1; 44700; 1; 45200; 1
Rect(3212, 8025, 15499, 29161); 26400; 1; 38900; 1; 76400; 1
Rect(9254, 9463, 23437, 75798); 23800; 1; 43800; 1; 48900; 1
Rect(371198, 82412, 428744, 180305); 17300; 1; 45200; 1; 45200; 1
Rect(74646, 183577, 84886, 270740); 16300; 1; 45400; 1; 44500; 1
Rect(389617, 320162, 489010, 399227); 15700; 1; 49700; 1; 45000; 1
Rect(354327, 36844, 413887, 97351); 15000; 1; 44700; 1; 48700; 1
Rect(261037, 250836, 297765, 251085); 13700; 1; 44700; 1; 46800; 1
Rect(4736, 201772, 55036, 208869); 13600; 1; 46500; 1; 44800; 1
Rect(227875, 186292, 324266, 221188); 13700; 1; 44400; 1; 45100; 1
Rect(160820, 216355, 180234, 252482); 13900; 1; 46200; 1; 104100; 1
Rect(40333, 330886, 100625, 404041); 13700; 1; 46600; 1; 48300; 1
Rect(392683, 270070, 463172, 303196); 13400; 1; 47300; 1; 44400; 1
